Surface_Code,Court_Code,Series_Code,Round_Code,Best of,Rank_1,Rank_2,Rank_Diff
2,0,3,2,3,8,20,12
1,0,4,0,3,69,112,43
1,0,0,6,3,241,95,-146
3,1,3,4,3,160,90,-70
3,0,6,2,3,34,101,67
3,0,1,7,3,7,49,42
3,0,5,1,3,9,71,62
3,1,3,0,3,68,366,298
3,0,6,1,3,69,25,-44
3,0,3,1,3,58,49,-9
1,0,0,1,3,98,28,-70
3,1,1,0,3,103,50,-53
3,1,0,1,3,55,12,-43
2,0,0,1,3,159,39,-120
2,0,2,4,5,40,43,3
1,0,4,1,3,36,82,46
1,0,1,1,3,31,120,89
3,0,6,1,3,51,3,-48
3,0,0,7,3,36,173,137
1,0,5,1,3,58,40,-18
3,1,4,4,3,41,43,2
1,0,6,0,3,22,46,24
3,0,2,1,5,9,53,44
0,1,3,4,3,10,47,37
3,1,1,0,3,38,24,-14
3,0,2,1,5,245,145,-100
1,0,1,1,3,25,95,70
3,0,4,0,3,60,436,376
2,0,2,2,5,8,55,47
1,0,4,1,3,114,16,-98
1,0,0,0,3,64,319,255
3,0,6,1,3,21,71,50
3,0,0,2,3,54,30,-24
2,0,0,0,3,37,116,79
3,1,3,4,3,73,139,66
1,0,6,1,3,15,54,39
1,0,1,0,3,429,91,-338
1,0,6,4,3,3,36,33
3,0,2,0,5,22,39,17
3,0,2,2,5,11,57,46
3,1,0,0,3,44,107,63
1,0,5,1,3,8,65,57
1,0,3,2,3,69,46,-23
3,0,2,0,5,111,1,-110
3,1,3,1,3,20,65,45
1,0,0,0,3,168,826,658
0,1,3,0,3,76,175,99
1,0,0,1,3,148,76,-72
3,1,0,4,3,344,70,-274
3,0,1,2,3,8,37,29
3,0,1,0,3,80,132,52
3,1,0,0,3,14,107,93
3,0,2,2,5,23,14,-9
2,0,1,0,3,47,35,-12
0,1,3,1,3,18,68,50
1,0,6,0,3,41,48,7
1,0,6,7,3,3,7,4
2,0,0,0,3,57,45,-12
1,0,3,0,3,20,298,278
1,0,5,1,3,177,23,-154
1,0,6,0,3,105,18,-87
1,0,4,0,3,105,356,251
3,0,6,0,3,54,128,74
3,0,2,0,5,36,32,-4
2,0,2,0,5,72,31,-41
1,0,2,2,5,13,48,35
3,1,7,5,3,6,3,-3
1,0,2,1,5,89,70,-19
1,0,1,0,3,10,374,364
1,0,3,4,3,68,146,78
1,0,0,0,3,232,259,27
3,0,6,0,3,43,61,18
3,1,3,0,3,12,48,36
2,0,1,0,3,60,92,32
3,0,2,3,5,15,3,-12
3,0,2,0,5,70,108,38
3,0,5,2,3,77,22,-55
3,0,6,1,3,13,76,63
3,1,0,1,3,149,44,-105
1,0,0,0,3,47,543,496
3,0,2,0,5,9,191,182
1,0,2,0,5,54,142,88
3,0,6,2,3,113,15,-98
2,0,2,1,5,154,34,-120
1,0,4,1,3,33,184,151
3,0,5,0,3,989,41,-948
3,1,4,0,3,142,116,-26
2,0,3,0,3,42,118,76
3,0,2,0,5,38,1,-37
3,0,2,6,5,4,26,22
1,0,5,2,3,9,70,61
3,0,0,0,3,96,62,-34
1,0,1,1,3,6,72,66
1,0,0,1,3,48,77,29
3,0,2,2,5,9,74,65
1,0,0,1,3,73,95,22
3,1,1,0,3,46,57,11
1,0,2,0,5,201,14,-187
3,1,1,4,3,11,12,1
2,0,0,0,3,77,284,207
3,0,2,1,5,74,31,-43
1,0,0,0,3,33,66,33
3,0,5,0,3,56,60,4
3,0,0,1,3,97,34,-63
1,0,2,2,5,1,46,45
3,0,2,0,5,19,185,166
3,0,3,0,3,82,38,-44
3,0,4,7,3,28,55,27
3,0,6,0,3,34,16,-18
3,1,4,0,3,42,23,-19
3,0,2,1,5,85,27,-58
1,0,0,0,3,127,109,-18
2,0,0,1,3,27,45,18
1,0,6,2,3,65,1,-64
2,0,2,0,5,46,24,-22
3,1,0,4,3,41,10,-31
3,0,6,2,3,3,31,28
1,0,0,0,3,34,81,47
3,0,0,0,3,49,184,135
3,0,0,1,3,67,58,-9
3,1,0,4,3,8,17,9
1,0,3,1,3,66,46,-20
3,0,0,2,3,76,49,-27
1,0,3,1,3,38,8,-30
1,0,1,0,3,829,78,-751
1,0,3,0,3,130,28,-102
1,0,0,4,3,74,73,-1
3,0,3,0,3,44,29,-15
3,0,3,1,3,63,144,81
3,0,6,6,3,7,4,-3
1,0,0,0,3,47,457,410
2,0,0,4,3,116,298,182
3,0,0,4,3,19,84,65
3,0,2,0,5,106,31,-75
1,0,1,1,3,34,60,26
1,0,4,4,3,130,65,-65
1,0,4,1,3,22,193,171
3,0,4,6,3,5,42,37
1,0,2,0,5,94,35,-59
1,0,0,0,3,56,184,128
1,0,3,6,3,133,75,-58
3,0,5,6,3,22,9,-13
3,1,6,2,3,6,23,17
3,1,6,1,3,18,10,-8
3,0,5,1,3,20,72,52
3,1,1,0,3,78,61,-17
1,0,3,5,3,62,113,51
3,0,3,0,3,59,69,10
1,0,3,0,3,57,100,43
3,0,2,1,5,124,6,-118
2,0,2,0,5,8,207,199
3,1,0,0,3,66,125,59
3,0,6,0,3,60,101,41
1,0,0,0,3,259,28,-231
2,0,2,0,5,50,75,25
3,0,0,0,3,590,87,-503
1,0,2,3,5,30,59,29
3,0,0,1,3,54,434,380
3,1,0,4,3,21,60,39
